epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.055,3.4311,5.22394,2.3268,0.0039,0.39806,0.0037,0.00096,2.98348,4.00699,1.97726,0.000647619,0.000647619,0.000647619
2,870.505,3.10333,4.42921,2.01397,0.07629,0.00485,0.00969,0.00282,3.14306,4.11357,2.14751,0.00128826,0.00128826,0.00128826
3,1203.74,2.93065,4.06005,1.99778,0.19148,0.01844,0.02115,0.00734,3.22491,4.57203,2.39269,0.00190251,0.00190251,0.00190251
4,1456.41,2.84183,3.81415,1.96717,0.10396,0.0534,0.01846,0.00568,2.77937,4.17607,2.11258,0.0018812,0.0018812,0.0018812
5,1747.87,2.69429,3.62397,1.89142,0.08021,0.07282,0.02137,0.00487,2.78549,4.49473,2.07689,0.0018416,0.0018416,0.0018416
6,2021.21,2.64011,3.42383,1.85203,0.13337,0.13447,0.07193,0.02402,2.56333,3.65931,1.98784,0.001802,0.001802,0.001802
7,2399.75,2.57399,3.26864,1.84393,0.10681,0.09709,0.05073,0.01922,2.55055,3.55974,2.0341,0.0017624,0.0017624,0.0017624
8,2761.72,2.54826,3.11494,1.88549,0.15418,0.15534,0.06829,0.02466,2.56307,3.31196,2.02399,0.0017228,0.0017228,0.0017228
9,3114.14,2.44918,3.04277,1.78752,0.14749,0.12136,0.06578,0.0223,2.38643,3.09058,1.89538,0.0016832,0.0016832,0.0016832
10,3524.59,2.42403,2.96869,1.77136,0.27775,0.16505,0.10893,0.04458,2.30402,2.92741,1.84718,0.0016436,0.0016436,0.0016436
11,3918.99,2.39726,2.8671,1.75747,0.2063,0.14078,0.09822,0.0378,2.34459,2.89122,1.81714,0.001604,0.001604,0.001604
12,4316.24,2.35294,2.81142,1.73386,0.2689,0.1699,0.13051,0.0492,2.33994,2.98812,1.85763,0.0015644,0.0015644,0.0015644
13,4637.63,2.37696,2.7312,1.75963,0.26281,0.18447,0.11812,0.04366,2.39306,2.79528,1.8697,0.0015248,0.0015248,0.0015248
14,5100.64,2.29677,2.69891,1.70748,0.18965,0.17476,0.10975,0.04448,2.28139,2.7373,1.8452,0.0014852,0.0014852,0.0014852
15,5536.05,2.26764,2.70988,1.66728,0.22523,0.15534,0.10767,0.03659,2.35634,2.91769,1.82893,0.0014456,0.0014456,0.0014456
